Keyword,Intent nguồn,Volume,KD,CPC,ICADO rank,ICADO page,Quyết định,Pillar,Cụm LSI / Search intent,Intent chuẩn hóa,Ưu tiên
phối đồ với quần short nữ,Informational,210,6,0.009999999776482582,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P1
phối đồ với áo polo nam,Informational,140,12,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
phối đồ với áo polo nữ,Informational,110,9,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
phối đồ với quần short nam,Informational,90,11,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
phối đồ đi biển với quần short,Informational,90,7,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
phối đồ với áo polo,Informational,70,9,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
phối đồ với áo thun nữ,Informational,70,9,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
phối đồ với áo thun có cổ nữ,Informational,50,4,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
phối đồ áo polo nam,Informational,40,9,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
áo khoác nữ phong cách,Informational,40,22,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
cách phối đồ với áo ngắn,Informational,30,6,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
cách phối đồ với áo polo nữ,Informational,30,8,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
cách phối đồ với áo thun nam,Informational,30,6,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
phối đồ quần short nam,Informational,30,9,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
phối đồ với quần short,Informational,30,8,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
phối đồ với quần sooc da mùa đông,Informational,30,7,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
phối đồ với áo phông,Informational,30,9,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
phối đồ với áo phông rộng,Informational,30,8,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
phối đồ với áo phông rộng nam,Informational,30,9,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
phối đồ với áo phông trắng nữ,Informational,30,3,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
phối đồ áo tay dài,Informational,30,-1,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
phối đồ áo thun nam,Informational,30,6,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
phối đồ áo thun trắng nam,Informational,30,6,0,0,,Giữ,Athleisure & outfit,Phối đồ / outfit / lookbook,Inspiration,P2
chất vải polo,Informational,30,8,0,0,,Giữ,Công nghệ vải & form,Chất liệu và hiệu suất vải,Informational,P2
chất vải áo phông,Informational,30,10,0,0,,Giữ,Công nghệ vải & form,Chất liệu và hiệu suất vải,Informational,P2
quần dài thể thao vải dù,Informational,30,9,0,0,,Giữ,Công nghệ vải & form,Chất liệu và hiệu suất vải,Informational,P2
quần vải nỉ,Informational,30,11,0,0,,Giữ,Công nghệ vải & form,Chất liệu và hiệu suất vải,Informational,P2
quần vải áo phông,Informational,30,11,0,0,,Giữ,Công nghệ vải & form,Chất liệu và hiệu suất vải,Informational,P2
áo khoác vải nam,Informational,30,49,0.029999999329447746,0,,Giữ,Công nghệ vải & form,Chất liệu và hiệu suất vải,Informational,P2
quần áo tập gym nữ,Commercial,210,18,0.07000000029802322,0,,Giữ,Gym & Training,Chọn đồ nữ,Commercial investigation,P1
set đồ tập gym cho nữ,Informational,140,9,0.03999999910593033,0,,Giữ,Gym & Training,Chọn đồ nữ,Informational,P2
mua quần áo tập gym nữ ở hà nội,Commercial,30,14,0,0,,Giữ,Gym & Training,Chọn đồ nữ,Transactional,P2
quần short tập gym nữ 2 lớp,Informational,30,8,0,0,,Giữ,Gym & Training,Chọn đồ nữ,Informational,P2
training bra,Informational,30,26,0,0,,Giữ,Gym & Training,Chọn đồ nữ,Informational,P2
shape đồ tập gym yoga sport,Transactional,170,29,0,0,,Giữ,Gym & Training,Mặc gì / hướng dẫn chọn đồ,Commercial investigation,P2
quần áo tập gym hà nội,Commercial,30,11,0,0,,Giữ,Gym & Training,Mặc gì / hướng dẫn chọn đồ,Commercial investigation,P2
shop đồ tập gym hà nội,Commercial,30,-1,0,0,,Giữ,Gym & Training,Mặc gì / hướng dẫn chọn đồ,Transactional,P2
đồ tập gym mùa đông,Informational,30,6,0.05999999865889549,0,,Giữ,Gym & Training,Mặc gì / hướng dẫn chọn đồ,Transactional,P2
pickleball clothing,Commercial,50,33,0.5199999809265137,0,,Giữ,Pickleball,Kiến thức Pickleball hỗ trợ chọn đồ,Commercial investigation,P2
quần tennis nam,Informational,12100,13,0.12999999523162842,0,,Giữ,Tennis & Running,Chọn đồ nam,Informational,P0
quần chạy bộ nam,Informational,480,10,0.09000000357627869,0,,Giữ,Tennis & Running,Chọn đồ nam,Comparison,P1
quần áo chạy bộ nam,Informational,170,8,0.10000000149011612,0,,Giữ,Tennis & Running,Chọn đồ nam,Comparison,P2
quần bó cơ chạy bộ nam,Informational,110,5,0.09000000357627869,0,,Giữ,Tennis & Running,Chọn đồ nam,Comparison,P2
quần chạy bộ nam 2 lớp,Informational,90,7,0.07000000029802322,0,,Giữ,Tennis & Running,Chọn đồ nam,Comparison,P2
bộ đồ chạy bộ nam,Informational,40,4,0.07999999821186066,0,,Giữ,Tennis & Running,Chọn đồ nam,Comparison,P2
quần chạy bộ nam ngắn,Informational,30,9,0.07000000029802322,0,,Giữ,Tennis & Running,Chọn đồ nam,Comparison,P2
